"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"400C100US03736","Athens, TX Urban Cluster (2010)","12493","589","9587","711","2082","366","61","80","339","135","0","21","329","303","95","96","23","43","72","64"
"400C100US03763","Athens-Clarke County, GA Urbanized Area (2010)","135776","1263","90681","1449","32536","809","78","63","6257","308","41","56","3238","840","2945","512","221","135","2724","497"
"400C100US03790","Athol, MA Urban Cluster (2010)","12370","594","11813","572","127","60","15","14","155","119","0","19","34","46","226","110","24","27","202","109"
"400C100US03817","Atlanta, GA Urbanized Area (2010)","4894216","5656","2473187","8502","1793330","5844","16697","1655","310446","2412","2088","623","171391","6472","127077","4813","18515","1608","108562","4534"
"400C100US03844","Atlanta, TX Urban Cluster (2010)","5972","371","4021","515","1750","366","13","19","0","19","14","21","30","44","144","118","6","10","138","118"
"400C100US03871","Atlantic, IA Urban Cluster (2010)","6201","149","5990","152","20","15","41","36","26","36","21","21","45","35","58","44","7","19","51","40"
"400C100US03898","Atlantic City, NJ Urbanized Area (2010)","246947","1321","164328","2015","38455","1239","688","362","22054","609","74","51","12817","1195","8531","1066","2257","520","6274","871"
"400C100US03925","Atmore, AL Urban Cluster (2010)","6772","383","2773","491","3617","447","174","113","15","22","54","81","0","16","139","136","0","16","139","136"
"400C100US03957","Atoka, TN Urban Cluster (2010)","20015","768","16521","871","2154","478","216","135","371","163","111","167","66","76","576","286","0","23","576","286"
"400C100US03979","Attica, IN Urban Cluster (2010)","5197","244","5051","263","20","18","14","22","10","19","0","16","18","27","84","42","0","16","84","42"
"400C100US04006","Attica, NY Urban Cluster (2010)","6394","281","4228","269","1807","169","62","35","25","35","0","16","95","58","177","82","39","27","138","80"
"400C100US04021","Aubrey, TX Urban Cluster (2010)","4632","259","4357","276","16","16","43","43","23","26","0","13","83","108","110","72","25","24","85","67"
"400C100US04033","Auburn, AL Urbanized Area (2010)","82524","1004","53251","1272","22207","966","58","58","4456","447","12","23","1395","857","1145","359","63","70","1082","353"
"400C100US04054","Auburn, IL Urban Cluster (2010)","4345","389","4109","395","177","196","0","11","44","40","0","11","0","11","15","16","0","11","15","16"
"400C100US04060","Auburn, IN Urban Cluster (2010)","22226","653","21855","627","46","45","5","7","62","47","0","21","43","51","215","83","3","7","212","83"
"400C100US04087","Auburn, NE Urban Cluster (2010)","3366","36","3273","43","18","20","13","16","50","4","0","9","0","9","12","12","0","9","12","12"
